id,lat,long,fecha
12,-31.82822,-60.51399,10_2017
33,-31.82881,-60.51573,10_2017
64,-31.82815,-60.51523,10_2017
66,-31.82795,-60.51634,10_2017
65,-31.82686,-60.51618,10_2017
67,-31.82731,-60.51542,10_2017
59,-31.82643,-60.51484,10_2017
63,-31.82541,-60.51482,10_2017
58,-31.82497,-60.51399,10_2017
61,-31.82674,-60.51413,10_2017
52,-31.82544,-60.51574,10_2017
54,-31.82448,-60.51537,10_2017
60,-31.8257321,-60.5189836,01_2017
Vivero,-31.82226,-60.5131282,01_2017
50,-31.825494,-60.5148855,01_2017
68,-31.8275059,-60.5151731,01_2017
69,-31.8230592,-60.5147431,01_2017
? (Patio Fer),-31.8216656,-60.5185606,01_2017
44,-31.8217173,-60.518386,01_2017
26,-31.823242,-60.51899,01_2017
27,-31.8260724,-60.5218269,01_2017
56,-31.8279039,-60.5179438,01_2017
33,-31.82798444,-60.51665312,01_2017
1-Casa Alberdi,-31.84203773,-60.5165233,01_2017
47,-31.84280432,-60.51807265,01_2017
32,-31.84256651,-60.51966435,01_2017
35,-31.82285117,-60.51338822,01_2017
45,-31.82160044,-60.51457304,01_2017
34A-1,-31.82844116,-60.52097801,01_2017
31,-31.82968371,-60.520271,01_2017
33-1,-31.82761829,-60.52288234,01_2017
25-2,-31.82437644,-60.52186173,01_2017
26A-1,-31.82454486,-60.52055149,01_2017
26B-1,-31.82641923,-60.52054614,01_2017
35-1,-31.82767764,-60.51905857,01_2017
28-1,-31.82687385,-60.5180072,01_2017
FI-1,-31.832409,-60.522264,01_2017
FI-2,-31.832262,-60.522901,01_2017
FCA-1,-31.831284,-60.52126,01_2017
FCA-2,-31.83142,-60.520317,01_2017
FCYT-1,-31.833911,-60.521898,01_2017
FCYT-2,-31.83416,-60.521725,01_2017
1,-31.82433701,-60.51464495,01_2017
39,-31.8258586,-60.514827,01_2017
casa turco,-31.82597677,-60.51600817,01_2017
28-2,-31.82485735,-60.51676505,01_2017
12,-31.8205008,-60.52091239,01_2017
13A,-31.82165696,-60.51976483,01_2017
16-1,-31.8241797,-60.51762874,01_2017
16-2,-31.82163032,-60.51687073,01_2017
16-3,-31.82272791,-60.51609762,01_2017
55,-31.8260022,-60.5231668,01_2017
78-1,-31.8210215,-60.5172624,01_2017
27A-2,-31.8245237,-60.5181497,01_2017
25-3,-31.8259223,-60.5212069,01_2017
24,-31.8290769,-60.5210902,08_2016
47,-31.8267713,-60.5203095,08_2016
55,-31.8239827,-60.5199058,08_2016
60,-31.8257321,-60.5189836,08_2016
45,-31.8222603,-60.5131915,08_2016
50,-31.825494,-60.5148855,08_2016
68,-31.8275059,-60.5151731,08_2016
69,-31.8230592,-60.5147431,08_2016
57,-31.8228019,-60.5163864,08_2016
? (Patio Fer),-31.8216656,-60.5185606,08_2016
? (Vereda Fer),-31.8217173,-60.518386,08_2016
29,-31.826481,-60.519869,08_2016
26,-31.823242,-60.51899,08_2016
25,-31.827297,-60.515397,08_2016
22,-31.8266894,-60.5190913,08_2016
58,-31.8267216,-60.5171184,08_2016
27,-31.8260724,-60.5218269,08_2016
62,-31.8289119,-60.5223835,08_2016
56,-31.8279039,-60.5179438,08_2016
31,-31.8273,-60.515107,08_2016
33,-31.827532,-60.515407,08_2016
6,-31.826903,-60.515424,08_2016
38,-31.827186,-60.515756,08_2016
